train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
1.2349592447280884,0,49,,,,
1.3264615535736084,0,99,,,,
1.2560474872589111,0,149,,,,
0.9485389590263367,0,199,,,,
1.2647196054458618,0,249,,,,
1.6866213083267212,0,299,,,,
1.7936017513275146,0,349,,,,
1.0566715002059937,0,399,,,,
1.5693414211273193,0,449,,,,
1.4103442430496216,0,499,,,,
1.4385102987289429,0,549,,,,
1.5604619979858398,0,599,,,,
1.2733649015426636,0,649,,,,
1.5252517461776733,0,699,,,,
1.4728132486343384,0,749,,,,
,0,749,1.1683132648468018,0.534333348274231,,
,1,750,,,1.191168189048767,0.5238999724388123
