train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
2.309626340866089,0,49,,,,
2.296248197555542,0,99,,,,
2.3092029094696045,0,149,,,,
2.308096170425415,0,199,,,,
2.2988734245300293,0,249,,,,
2.3057961463928223,0,299,,,,
2.316774606704712,0,349,,,,
2.2954084873199463,0,399,,,,
2.2929539680480957,0,449,,,,
2.3175745010375977,0,499,,,,
2.3079311847686768,0,549,,,,
2.302964210510254,0,599,,,,
2.2920618057250977,0,649,,,,
2.2880396842956543,0,699,,,,
2.2901034355163574,0,749,,,,
,0,749,2.303924083709717,0.1509999930858612,,
,1,750,,,2.304229736328125,0.14730000495910645
