train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
1.0051976442337036,0,49,,,,
0.6304782629013062,0,99,,,,
0.5690613985061646,0,149,,,,
0.6429411172866821,0,199,,,,
0.4923110902309418,0,249,,,,
0.6357620358467102,0,299,,,,
0.38036659359931946,0,349,,,,
0.5852421522140503,0,399,,,,
0.5934051871299744,0,449,,,,
0.5076795816421509,0,499,,,,
0.4128226935863495,0,549,,,,
0.5536651611328125,0,599,,,,
0.5716120600700378,0,649,,,,
0.7365935444831848,0,699,,,,
0.5101012587547302,0,749,,,,
,0,749,0.45706602931022644,0.8336666822433472,,
,1,750,,,0.4751226007938385,0.8310999870300293
