train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
2.303334951400757,0,49,,,,
2.2849276065826416,0,99,,,,
2.260765552520752,0,149,,,,
2.2086262702941895,0,199,,,,
2.1490073204040527,0,249,,,,
1.8561853170394897,0,299,,,,
1.7561814785003662,0,349,,,,
1.491269826889038,0,399,,,,
1.1768043041229248,0,449,,,,
1.2399756908416748,0,499,,,,
1.065775752067566,0,549,,,,
1.0572185516357422,0,599,,,,
0.9592093229293823,0,649,,,,
1.033852458000183,0,699,,,,
0.9145767688751221,0,749,,,,
,0,749,0.8186944127082825,0.6807500123977661,,
,1,750,,,0.8224239349365234,0.6886000037193298
