train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
2.3215436935424805,0,49,,,,
2.308427095413208,0,99,,,,
2.307770252227783,0,149,,,,
2.2912256717681885,0,199,,,,
2.2955892086029053,0,249,,,,
2.3104536533355713,0,299,,,,
2.302945375442505,0,349,,,,
2.2862563133239746,0,399,,,,
2.302154302597046,0,449,,,,
2.308903455734253,0,499,,,,
2.298093557357788,0,549,,,,
2.3087358474731445,0,599,,,,
2.30039381980896,0,649,,,,
2.3033998012542725,0,699,,,,
2.319025993347168,0,749,,,,
,0,749,2.3067667484283447,0.09149999916553497,,
,1,750,,,2.3075034618377686,0.08820000290870667
