train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
2.307833433151245,0,49,,,,
2.312649726867676,0,99,,,,
2.2995026111602783,0,149,,,,
2.2960968017578125,0,199,,,,
2.302830457687378,0,249,,,,
2.2969789505004883,0,299,,,,
2.3122124671936035,0,349,,,,
2.314464569091797,0,399,,,,
2.2941951751708984,0,449,,,,
2.302722454071045,0,499,,,,
2.299464464187622,0,549,,,,
2.308481454849243,0,599,,,,
2.3194663524627686,0,649,,,,
2.302361488342285,0,699,,,,
2.2927372455596924,0,749,,,,
,0,749,2.3051674365997314,0.09475000202655792,,
,1,750,,,2.3040831089019775,0.10000000149011612
